Compound,Date,Negative,Neutral,News Outlet,Positive,Tweet Text,Tweets Count
0.0,Mon Jun 11 02:21:03 +0000 2018,0.0,1.0,@CBS,0.0,"RT @leahableson: The Once On This Island Goat And Chicken made it to the broadcast, Mama WILL provide #TonyAwards",48
0.0,Mon Jun 11 02:16:06 +0000 2018,0.0,1.0,@CBS,0.0,That performance was the GOAT. #TonyAwards https://t.co/mtoU92HipQ,49
0.8908,Mon Jun 11 02:11:03 +0000 2018,0.0,0.509,@CBS,0.491,Harry Potter and the Cursed Child wins Best Play at the #TonyAwards! @HPPlayNYC https://t.co/WIqJQmtAlN,50
0.0,Mon Jun 11 02:05:47 +0000 2018,0.0,1.0,@CBS,0.0,🎶 “Let's dance this last dance tonight.” 🎶 #TonyAwards #DonnaSummerMusical https://t.co/UAIaglChfv,51
0.4926,Mon Jun 11 02:03:31 +0000 2018,0.0,0.738,@CBS,0.262,Hope he brought enough birthday cake for everyone! #TonyAwards https://t.co/FlLbKV6oj8,52
0.5093,Mon Jun 11 01:58:48 +0000 2018,0.0,0.477,@CBS,0.523,@writerlindsayb You're welcome! #TonyAwards,53
0.7579,Mon Jun 11 01:53:17 +0000 2018,0.0,0.519,@CBS,0.481,RT @hjmayer8: I sure do love @DearEvanHansen 💙 #TonyAwards,54
0.6467,Mon Jun 11 01:51:16 +0000 2018,0.0,0.752,@CBS,0.248,"RT @Valerie4815: What a birthday present, the Tony audience singing happy birthday to you!! #TonyAwards",55
0.0,Mon Jun 11 01:38:23 +0000 2018,0.0,1.0,@CBS,0.0,If only this performance could go on forever. #TonyAwards @FrozenBroadway https://t.co/p2BMUvyTxr,56
0.636,Mon Jun 11 01:37:36 +0000 2018,0.0,0.724,@CBS,0.276,RT @anna_villanueva: Magnificent performance from the cast of @FrozenBroadway! #TonyAwards2018 #TonyAwards #Tonys,57
0.8834,Mon Jun 11 01:30:56 +0000 2018,0.0,0.437,@CBS,0.563,Glenda Jackson wins Best Leading Actress in a Play. #TonyAwards @threetallwomen https://t.co/GRp1gcBuiW,58
0.0,Mon Jun 11 01:29:21 +0000 2018,0.0,1.0,@CBS,0.0,.@SaraBareilles is totally a Gryffindor. #TonyAwards https://t.co/OPQ7esk2dn,59
